,vote_type,proposal_id,title,voted_choice,voting_power
137,token_house,0x6951c9f971fc7cf939ef9f3b6ce49494a08c53bd617700b5ea46a497c3693c4c,Season 2: Cycle 7: Safe,FOR,5733512.754795888
138,token_house,0x6951c9f971fc7cf939ef9f3b6ce49494a08c53bd617700b5ea46a497c3693c4c,Season 2: Cycle 7: Safe,AGAINST,339170.06203151966
139,token_house,0x6bccf3a1f627aa4056c921f8551683c82f3a4e0d3c831840d5738c1748f78790,Proposal K: Governance Fund Phase 1 - Infinity Wallet,AGAINST,7308776.68141855
140,token_house,0x6bccf3a1f627aa4056c921f8551683c82f3a4e0d3c831840d5738c1748f78790,Proposal K: Governance Fund Phase 1 - Infinity Wallet,FOR,6770776.568601979
141,token_house,0x6bccf3a1f627aa4056c921f8551683c82f3a4e0d3c831840d5738c1748f78790,Proposal K: Governance Fund Phase 1 - Infinity Wallet,ABSTAIN,3364915.9404373392
142,token_house,0x6cc31c08dd7b59a516934fbab9f5fd355d9c92d5a438cc9474df65b9f7edd545,Season 2: Cycle 7: Rainbow Wallet,FOR,11739540.768478338
143,token_house,0x6cc31c08dd7b59a516934fbab9f5fd355d9c92d5a438cc9474df65b9f7edd545,Season 2: Cycle 7: Rainbow Wallet,AGAINST,781123.7622475083
144,token_house,0x6cc31c08dd7b59a516934fbab9f5fd355d9c92d5a438cc9474df65b9f7edd545,Season 2: Cycle 7: Rainbow Wallet,ABSTAIN,26428.419032533122
145,token_house,0x710d91f3922cdb86359e751efe7c702826892b4f6d79217366bccda6a7e6d7d4,Season 2 Governance Fund Proposal: Socket,AGAINST,9229374.461609608
146,token_house,0x710d91f3922cdb86359e751efe7c702826892b4f6d79217366bccda6a7e6d7d4,Season 2 Governance Fund Proposal: Socket,FOR,1989682.5905309964
147,token_house,0x710d91f3922cdb86359e751efe7c702826892b4f6d79217366bccda6a7e6d7d4,Season 2 Governance Fund Proposal: Socket,ABSTAIN,596184.5107366586
148,token_house,0x71f465ebc109ddbda430a6a0312a43c324d0653624eb22e126e7503681dceb10,Season 2: Cycle 8: Ambire Wallet,AGAINST,7700499.708149696
149,token_house,0x71f465ebc109ddbda430a6a0312a43c324d0653624eb22e126e7503681dceb10,Season 2: Cycle 8: Ambire Wallet,ABSTAIN,6466496.828556234
150,token_house,0x71f465ebc109ddbda430a6a0312a43c324d0653624eb22e126e7503681dceb10,Season 2: Cycle 8: Ambire Wallet,FOR,488949.65235262585
151,token_house,0x7c2da0957e9e7660f9f6219c05291c0907bed79c10b6da15a95416e68cbb4ac1,Season 2 Governance Fund Proposal: OptiChads,FOR,11613004.027471043
152,token_house,0x7c2da0957e9e7660f9f6219c05291c0907bed79c10b6da15a95416e68cbb4ac1,Season 2 Governance Fund Proposal: OptiChads,AGAINST,286487.3714472146
153,token_house,0x7c2da0957e9e7660f9f6219c05291c0907bed79c10b6da15a95416e68cbb4ac1,Season 2 Governance Fund Proposal: OptiChads,ABSTAIN,228234.0593170021
154,token_house,0x7fcc9c9537a7061bae91a25b9dfa4c995a4618e1d7bb9b034b79ab5c214fb3e8,Season 2: Cycle 7: Overtime Markets,FOR,5677264.1704833
155,token_house,0x7fcc9c9537a7061bae91a25b9dfa4c995a4618e1d7bb9b034b79ab5c214fb3e8,Season 2: Cycle 7: Overtime Markets,AGAINST,3003078.6259741206
156,token_house,0x7fcc9c9537a7061bae91a25b9dfa4c995a4618e1d7bb9b034b79ab5c214fb3e8,Season 2: Cycle 7: Overtime Markets,ABSTAIN,2699880.88137443
157,token_house,0x8160b000b3c2977889daf8ea63a7ead186efde83376c00e9dac3269fb4dcd544,Season 2: Cycle 8:  InsureDAO,FOR,12353913.23909524
158,token_house,0x8160b000b3c2977889daf8ea63a7ead186efde83376c00e9dac3269fb4dcd544,Season 2: Cycle 8:  InsureDAO,AGAINST,692403.2512181019
159,token_house,0x8160b000b3c2977889daf8ea63a7ead186efde83376c00e9dac3269fb4dcd544,Season 2: Cycle 8:  InsureDAO,ABSTAIN,241762.86054912693
160,token_house,0x84f200a727f9df8f7718f1bb8ba8b75f987dab145873656242d1fe1dda98c427,Proposal H: Governance Phase 1 - BarnBridge,AGAINST,15766648.215797875
161,token_house,0x84f200a727f9df8f7718f1bb8ba8b75f987dab145873656242d1fe1dda98c427,Proposal H: Governance Phase 1 - BarnBridge,FOR,594927.3037546123
162,token_house,0x84f200a727f9df8f7718f1bb8ba8b75f987dab145873656242d1fe1dda98c427,Proposal H: Governance Phase 1 - BarnBridge,ABSTAIN,131336.60154024014
163,token_house,0x86ccfd9ccce609cb27fdbd5b8344a8fee67805d896e75cbe127185c8d94656f1,Season 2 Governance Fund Proposal: Kromatika ,FOR,7360003.315811037
164,token_house,0x86ccfd9ccce609cb27fdbd5b8344a8fee67805d896e75cbe127185c8d94656f1,Season 2 Governance Fund Proposal: Kromatika ,ABSTAIN,2744434.404645366
