,contract_address,evt_tx_hash,evt_tx_from,evt_tx_to,evt_index,evt_block_time,evt_block_number,evt_block_date,proposalId,reason,support,voter,weight
20,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xe2bc0bf3e9aeb3158bc9273f555cedf5fee41d8d5e129335048ae84c61eb31d4,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,0xcdf27f107725988f2261ce2256bdfcde8b382b10,8,2024-05-26 05:59:29.000 UTC,120552196.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,1,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,1000088897751513946
21,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xd158eb2ab8a7af7731a3add66e62ad4bc7683a93fb6f23b5adcdf73ed2709f4e,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,33,2024-05-26 05:59:11.000 UTC,120552187.0,2024-05-26,72085170435228531173144599119267762084652443676555508407874836206178427511368,,0,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,121073710529767255764
22,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x3cdcb662f80db8b0211c3cf85f64d340bc4545908e3b5692bdb2e75f0b2bcc19,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,4,2024-05-26 05:59:03.000 UTC,120552183.0,2024-05-26,4537769538885163906898768401836322976193114338273264147746088063279656611139,,1,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,19177420853284227572
23,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xdc1fbbc343de52d0db5e3f52616a4ef6b0405521da77988cabbdec288c531321,0x9bdbf758a78803333493cfbfb572aa72d22e426c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,312,2024-05-26 05:59:37.000 UTC,120552200.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,1,0x9bdbf758a78803333493cfbfb572aa72d22e426c,1000003078568022797
24,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x0df2e1d8412dc9ebc7d596f5830c33b75a0dc3f58065a263d650cfa37e7bd0f6,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,0xcdf27f107725988f2261ce2256bdfcde8b382b10,26,2024-05-26 05:59:45.000 UTC,120552204.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,,1,0x3fd3dcd7bda97a7627264adcad23e513517e8f35,121073710529767255764
25,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xcaf45bcc33d72e0d088852615a109a0c0dd7d33c62dd1118465719739ba464e6,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,104,2024-05-26 06:00:07.000 UTC,120552215.0,2024-05-26,23296680451920040311284556255465306513981293154669425902294655221457403608367,,1,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,19177420853284227572
26,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x417fb8ddee585e22bd346642207e82387d1b6d8566ec5cef5aa47635eddfc33c,0x0878d5b11233933e641865bc9227c0ecddbe8c97,0xcdf27f107725988f2261ce2256bdfcde8b382b10,33,2024-05-26 06:00:57.000 UTC,120552240.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,1,0x0878d5b11233933e641865bc9227c0ecddbe8c97,658575944504464524
27,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xec512394a46a23019c55a853da0ff92a8f5de996433f2ebb2cc2b211a1856ec5,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,20,2024-05-26 06:00:47.000 UTC,120552235.0,2024-05-26,105090569675606228680479820654354019470447822380910214626164858605991232311940,,1,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,19177420853284227572
28,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xe5f94002e2b805c9655eb550eb4169b5c456aa53b2875cfb3df8850513365dd7,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,0xcdf27f107725988f2261ce2256bdfcde8b382b10,14,2024-05-26 06:00:47.000 UTC,120552235.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,,1,0xe1b1cd0cd1181fc8d65947c52f0894ddd6548f21,1000088897751513946
29,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0xe51534f62f1a1cddb81f8ca3e1647624b6f80c267287d613b4c76cf847bc6073,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,5,2024-05-26 06:01:09.000 UTC,120552246.0,2024-05-26,47257038716514883626179774712509684309799801257166588609178192779726195852111,,1,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,19177420853284227572
30,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x370c6127ef86238ba87320c4c057c96f503f3693f1fc8ba0cbb3c173c3444761,0x40784a7b89d3c82862baf1845c6a94716018cef8,0xcdf27f107725988f2261ce2256bdfcde8b382b10,4,2024-05-26 06:01:09.000 UTC,120552246.0,2024-05-26,72085170435228531173144599119267762084652443676555508407874836206178427511368,Major focus on failsafe's and security backups in this major upgrades. Stage 1 here we come!,1,0x40784a7b89d3c82862baf1845c6a94716018cef8,141268935168199819421
31,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x393c4b3215adb83dd073ec01d4e4377d0dab8a793c2c0081e078f6c0d19db53a,0x9bdbf758a78803333493cfbfb572aa72d22e426c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,21,2024-05-26 06:01:35.000 UTC,120552259.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,,1,0x9bdbf758a78803333493cfbfb572aa72d22e426c,1000003078568022797
32,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x5b5739d419e397baf2c9a86c6555dac2c6750cb8b6b9c1504637914c4d8e6d1c,0x0878d5b11233933e641865bc9227c0ecddbe8c97,0xcdf27f107725988f2261ce2256bdfcde8b382b10,19,2024-05-26 06:01:35.000 UTC,120552259.0,2024-05-26,89250535338859095270968116984279971013811713632639468811376241520756760598962,,1,0x0878d5b11233933e641865bc9227c0ecddbe8c97,658575944504464524
33,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0x70a8902abe65b36cea5372abfa55b781938f6267d89aca85c6145e42ee82529a,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,0xcdf27f107725988f2261ce2256bdfcde8b382b10,0,2024-05-26 06:01:41.000 UTC,120552262.0,2024-05-26,46662599590868619415724059715206858415123913604990481279137083354870809650669,,1,0x2a90c8926daac2cf79807fb576acf8c81fef7b0c,19177420853284227572
